x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
30,0,0,1.0139699,0.865374,0,0,0,0.6796058,0,0.55796516,0.35480264,0,0,0,1.5243332,0.9268663,0,0,0.07496792,1.5114664,0,0,0,0,0.13995454,0,0,1.8267336,0
31,0,0,0,1.8840604,0,0,0,2.8643427,0,0,0,0,0,0,1.7141489,0,0,0,0,0.70075893,0,0,0,0,0,0,0.27173018,0,0
32,0,2.9127402,0,0,2.0510492,2.8786416,0,0,0.9573479,0,0,0,0.59428,0.30291167,0,0.008401317,0,0.4345395,0,0,1.1782044,1.0766114,0,0.15137614,0,0,0,0.7734867,0.14327574
33,0.96694344,0,0.7258335,0.82271045,0,0,0.07700316,0,0.4438076,0.9582547,0.525868,0.14377715,0,0.7469335,0,0.64717746,0.6097981,0.5856254,0.20598748,0.42368266,0,0,0,4.2880287,0.6433358,0.6183467,0,0,0.951914
34,0.748126,0,0,0.18003136,0,0,0,0,0,0,0,0,0,0.36006787,0,0,0,0.9769476,0,0,0,0.9373993,0,0.90793604,0,0.2138404,0,0,0
35,0,2.024045,0,0,0.13800265,0.6479693,0,0,0,0.31706774,0.32333043,0.25503638,0.9982577,0,0.13730983,0,0,0.22457829,0.8739857,0.37391207,0,0,1.6483972,1.9936545,0,0,0.6900132,0.7029787,0
36,0,0,0,0,0,0.6496972,0,0,0,1.9167066,0,0.15687284,1.0310038,0,0.97300917,0,1.0582286,0,0,0.65637535,0.31637776,0,0,0,1.0065838,0.19828777,5.8461,0,1.1017661
37,2.5762706,0,0,0,0,0,0,0,0,0,0,0.14674422,0.2779526,0,0,0,0,0,0,0,0.77819127,0.3771067,0,0,0,0.16857782,0,0.80728424,0
38,0,0.93215954,0.17082223,0.7894027,0,0,0,0,0,0.055237114,0,0,0,0,0.5739246,0,0.32217926,0,0,0,0.38436043,0,1.0301116,0,0,0,1.6851313,0.2489998,0
39,0,0,0,0,0.957036,0,0.8059449,0,0.4487718,0.6521281,0.61781776,0,0.09699066,0.24646072,0,0,0,0,0,0,0,0.062410466,0,0,2.8650877,0.3680755,2.4599469,0,0.42509794
40,0.055532597,1.0714262,0,0,0,0,0,0,0,0,0,0,0,1.0777013,0,0,0,0.040143587,0,0.38449827,1.5238624,0,1.5176537,0,0.23300993,0.7632774,0.3240314,0,0
41,0,0.0387926,1.3152887,0,0.53492993,0.57507586,0,1.3481407,0,0,0,0,0,0,0,3.264759,0,0,0,0,0,0,0,1.3045412,0.23277831,0,2.477448,0.74723256,0.17159611
42,0.41309473,2.544632,0,0.7787653,0,0,0.14346021,0,0,0,0,0,0,0.61046815,0,0.48664153,0.82383764,0,0,0,0,0.82932705,0,0,0,0,2.3341768,0,0
43,0,4.2147527,0.26631674,0.7012248,2.2579687,0.37564614,1.5675504,0,0,0,0.024000365,0.64496493,1.3069714,0,0,0.73067707,0.06819901,0,0,0,0,0.15838815,0,0,0.07510092,0,0,0,1.1386446
44,0,3.3923483,0,0,0,3.4145837,0,0,0,1.2613078,0.047164913,0,0,1.5236969,0.25023717,2.7920458,0,2.020465,0,0.0840835,1.0800914,1.99157,0,0,0,0.49314225,0,0,0
45,0,1.3277005,0,0.45927668,0.679344,0,0,0.18182544,0.45573255,1.0750539,0.8481887,0,0,0,0,0,0.24340735,0.13674429,0,0,0,0,0.30423215,0,0,0.08541695,0.1910833,1.2675362,1.511584
46,0,0,0,0,0,0,0,0,0,1.073483,0,0.18231916,1.3339816,0.39009428,0.8662589,0,0,0.72065425,0,0.78525376,2.0843751,0.4305169,0,0.6624154,0.14020552,0,2.3173997,0,0
47,0,1.1039697,0,0,0.80554235,0,0,0,0.2731526,0,1.3188481,0.50625694,0,0,0,0,0.019938929,0,0,0,0,0.33234686,0,3.0343778,0.09224865,0.16895396,0,1.1937275,0.79833233
48,2.9697797,0,0,0,0,0.3491429,0,0,0.13872395,0,0.059637547,0,0.8572711,1.195435,0,0.7324719,0,0,0,0,0,0,0.5064101,0,0.2222374,0.4595535,0,0,0.91360396
49,0,0.019899921,0,0,0,0,0,1.0727582,0,0.9032477,0.04429387,0,0.20054854,0.13903634,0,0,0,0,0.02007123,0.93941516,0.94158554,0,0,0.6905623,0.007723414,2.3943427,0.42976817,0.09398103,0
50,1.233913,2.3061395,0.6736389,0,0,1.1231909,0.82675564,0,0,0,0.41557524,0,0,0,0,0,1.9818629,0,0.17404269,0,0.20875733,0,0,1.8022989,0,0.93084276,0,0,0.93773544
51,3.8689017,0,0,1.9570173,0,0,0,0.25631744,0,0.66846335,0,0.11908646,1.061924,0,0.21199532,0,1.0723352,0,1.1530536,0.45774662,0,0.9705852,0.40142727,2.098856,0.61334413,0.51338106,0,0.14510745,0.680361
