x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
623,0,0,0,0,0,0,0.44510624,0.2596704,0,1.0068233,0,0,1.7460771,1.8539684,0,1.7673415,0.6707227,0,1.988634,0,1.3947711,0,0,4.918662,2.0091267,3.166987,10.85907,0,1.3011855,1.2432902,0,0,0.17550492,2.9767063,0.19146828,0.98038214,0.4177184,1.6265984,0,0.41638803,0,1.3276564,0,0,0,3.757205,0,1.4971564,0,5.1300225,0
624,3.1257486,0,0,0.06572819,0.2344928,0,0,1.6234987,0.21450722,1.5735672,0,0,1.644082,0,0.80425155,0,2.128906,0.60211843,0.23483102,0.8436785,0.10553631,0,0,2.3116899,0.3208554,1.0372276,0,4.9762917,1.2138206,0,0,2.1152892,0.47182044,0,0,0.5151948,1.79102,1.1498938,0,0,0,0,0,0.8172438,0,0,6.9994287,0,0,0,0
625,0,0,0.2525036,0.9312619,0,0,0,0.3389811,0.5794901,0,0,0,0.56678116,0,0,0.32915688,0,2.2083325,2.9609811,0,0,1.3346786,1.421138,0,1.5811402,0,1.6071725,0,0,0.009867733,0,0,0,0,0,0.7008037,2.2276442,0,1.6966411,1.204086,1.2132177,1.952131,0,0,0.9617068,2.184403,1.0795174,0.34962168,2.9649687,0,0
626,1.9969091,0,1.5108927,1.3990924,0,0,0,0.19219501,0,0,0,0,1.5174617,0,0,2.6870751,0,0,1.4693084,0,0,0,2.360177,7.7931194,0,0,7.307187,8.683061,0.4048154,0.7232977,0,0,0,1.3899174,0.17017582,0,0,0,0,0,0,0,1.5564066,0,0,0,0,3.7201052,0,0,0
627,0,0,0,0.79951006,0.08923786,0,1.5562797,0,0,1.5684973,0,0,0,2.149367,0,1.1201235,1.3373106,0,0,7.9619503,0,0.8273599,0,0,1.5571979,0,3.5911314,8.180655,2.218177,0,0,0.016765496,0,0.42944992,1.8270847,2.199379,0.613374,0.48251247,2.1159081,0,0.29715368,1.1532782,0,0.7371853,3.202964,5.4834437,0,1.6365107,6.2792487,0,1.6235741
628,1.5740268,0,1.1024324,0,0.14864062,0,2.188073,1.4865038,0,0,1.5645592,0,1.0726893,0,0,1.7548066,0.027981931,0,0,3.9416366,4.3936286,0,0,5.1306844,2.0592415,0.26370752,0,0,0.27854624,0,0,3.3484952,0.17742535,0,0,0,0.57523197,0,0,0,0,2.015082,3.0726643,0,0.9443835,7.098926,4.602774,0,4.133642,12.420026,0.36490357
629,0.69728035,0.78419036,1.1692837,0,0.6104632,0,0,0.14219448,0,0,0,8.189353,0,0,0.41405275,0,2.3457196,0,0,0.34296483,0,0.26378277,0,1.5059524,0,10.395903,0,1.0631688,0.34198698,0.31512734,0,0,0,1.1414714,0,0,2.2445042,0.39463553,0.5652644,0,0,0.2680133,0,0.74717367,0,0.85734725,1.8346359,0,1.7067003,7.9369993,0
630,0.5996682,3.496704,0.3983534,0,0,5.167416,0,0,0,1.9115489,0,0,0,0.5317766,0.9830845,8.775459,0.427409,3.0664382,3.26519,0,1.4583113,0,9.709957,0,0,0,0,0,0,0,3.070524,3.2415912,1.6950159,0,3.03901,0,0,0.7267172,0,0,0.8589818,0,0,0,1.460585,0,3.1058068,0.87234515,0,0,0.5401107
631,0,2.15222,0.13559861,0,0.5889579,0,0,0,0,0.12921622,0.52964246,0,2.560955,0,1.2754614,0.2649633,0,0,0,3.8744962,1.8552608,0.9387266,0,7.8986697,0,0.53903997,8.407722,5.4999804,3.4293296,0,0,0,0,0,0,0,0,0.6920671,1.8154213,0,0,0,1.0368892,0,1.229143,0,11.969565,0.31869286,3.3181818,0,0
632,2.1710997,0,0.60627466,0.96309465,0.5188565,0,2.72487,0.37748218,0,1.3853463,0,0.2797586,0,0.36562917,0.12471965,0,0,3.430699,0.07064216,0,0.7683182,0,0,3.7404892,0,0,0.8755978,0,0.8409278,0,0,0,0,0.07951182,0,0,0,0,0,1.4932554,0.000301053,0.22650236,0,0,0.14233358,2.3933296,3.417406,3.875457,2.0214922,0,0
633,0,0,0.28012225,0.05818917,0,0,0,0,2.4366412,0.21821141,3.8709943,0,0.8645326,0,0.9440775,2.3778715,0,0,0,0,0,0.3234773,2.7314065,0,0,0,0,3.571086,0,2.4526618,1.093786,0,1.4348189,0,0,0,0,0,0,0,1.1211232,0.07379747,0,0.44849905,0,0,0,0,0,0,0
634,0,6.874005,0,0,0.20522681,2.6298347,0,0,1.9265586,1.954684,0,0.97417474,0,0.11072549,1.8299769,0,0,0,6.776331,0,0,3.2404053,9.601042,0,0,0,0,0,0,3.7520502,0.15506104,0.26282346,0,0,2.8132548,0,0,0,0,0,0.36814046,0,0,0,0,0,0,0,0,0,0.88170165
635,0,0,0,0,0.35614485,0,0,0,2.3501382,0,0,0,0,0,2.1818535,5.701356,0,4.55942,2.6090548,0,0,0,0,0,0.12201744,2.141639,0,0.025459014,0,3.5688088,0.31431428,2.6855404,3.735638,0,2.5854633,0,0,0,0,0,0,0,0.282051,0.51162875,0,0,0.8881419,0,0,0,0
636,0,0,0,0,0.260562,1.5894852,0.092126824,2.1573634,0,0.7875527,0,0,0,0,0,0,1.135827,1.341852,0,0,0,0,5.929487,0.88900536,0.028732916,0,0,0,0,0,0,1.6734655,0,2.874038,0.31248242,0,0,1.7525522,2.4298155,0,0,0,0,0,0,0.022037467,3.8172925,0,0,8.387392,0
637,0,1.2330594,0,0,0.02091895,0,0.14626338,0.59896004,0,0,0.7787359,0,0,0,0.3536445,0,0,0,0,0,0,1.077424,0,0,0,4.8611526,2.9913392,0.43727222,2.3053718,0,0,0,0,0,0,1.0438647,0.5221531,0.39397818,0.844001,0,0,3.1787894,0,0,0.054287646,0,0,0,0,0,1.0917556
638,0,0.012328297,1.5873773,0,0.14240795,2.604165,0,0,7.0083914,0,0.7718425,21.126749,0,0,1.6431513,6.287551,0,4.391238,2.2049623,0,0,1.0216808,2.23658,0,0,1.1547122,3.4499693,0,0,0,4.9330773,0,0.44728872,0,0.58468014,0,0.49066585,0.49265587,1.1382902,0.89688563,0,1.0495417,0,0.02415617,0,0,2.8764033,0.50248855,0,0,0
639,0,0,0,0.30968374,0.30512697,0,0,1.1235317,0,0,0,0,1.4304603,0,0,0,0,2.8831713,0,8.568824,3.3010755,0.41914192,0,3.8955839,0.59203243,5.587328,0,0,0,0,0,0,0.35363227,0,0.06326434,0,0,0.35256547,0,0,0.5058733,0,0,0.49839208,0.9190697,3.353215,1.3100106,0,2.5959175,13.036295,0
640,0,1.7980483,2.041307,0.7092369,0,0.04544217,0,0,0,0.41080916,0.08674248,2.952413,0,1.4769495,0,0,0.44505402,1.4381845,0,0,6.987796,0.45739788,14.968959,0,0,0,0,0,0,0,2.462385,1.3593897,1.9368632,0,0,0,0,0,0,0,1.0265207,0,0,0.42683166,0,0,0,0,4.1719112,4.521683,0
641,1.8645396,0,0,0,0,0,1.203708,0,0,1.9969064,0,0,0,0,0,4.783721,0.5022981,0,0,0,0,0,0,0.39451995,0.68992704,1.8325436,9.606573,4.674762,0,9.85817,0,0,0,0,0,0.8616716,2.4361243,0.18262376,0.7641785,0,0,0,0.726298,1.3754156,2.2097292,0,4.9571543,2.343815,0.6842401,3.1649187,0
642,0.0897243,0,0.80402744,0,0.27770966,0.5305664,0.6661697,0.43509698,0,0,0,0,3.5123873,0.20167632,0,0,0.84771,0,0,1.0153646,6.2000384,0,0,7.638607,0,0,0,0,0,0,0,0.41913432,0,0.46198657,0.74532807,0.2767388,0,0.901202,0.878826,1.4297503,0,0.895505,0,0.432727,0,1.0243188,7.33548,0,0,0,0.3851037
643,0,0,0.68604904,1.1923685,0,0,0,0,0,0,0,0.79812115,0,0,2.2406597,0,0.6769955,2.1051605,0.79336953,4.3482895,0,0,0,0,1.8087077,0,0,0,0,0,3.372727,0.7031027,1.189245,0,0.3395307,0,0,0.77501816,0,1.938744,0,1.1068853,0,0.6488895,0.61569613,4.377457,0.2790387,1.2593958,0,0,0
644,1.3596411,0,0,0.35233638,0.27486372,0,1.0756006,0,0,0.89092624,1.2644056,3.3343937,0,0,0,0.4022766,0,0,0,0,0,0.12087811,0,1.0236677,0.6575439,0,0,15.725973,0,6.323276,0,0,0,2.6971874,0,0,2.1392207,2.4203882,1.7144777,0,1.1948682,2.5524569,3.4298182,0.02826209,0,0,3.992685,0.40692604,0,0,0
645,0.28155833,0,0.44542286,1.3077917,0.31025532,0,0.7618369,0,0,0.7756193,0,0,0,0,1.0982417,8.006023,0,0,4.927177,0,0,0,0.22717202,1.7908525,0,0,1.7166576,2.7570434,2.7621117,0,0,0,0,0.89251965,0.20489873,0,0,0.18575402,1.4212482,2.0742838,0,0,0.5213861,0,0.4498452,0,0,0.5565809,9.190312,3.0348418,0
646,0.61163586,0,1.1771852,0,0.01549361,0,0,0,2.515389,0.40961644,0.33863205,6.8884115,0,1.2145698,0,0,1.2109648,0,0,3.2534106,2.117728,0,0,3.4944549,0,0,0,5.377907,1.794024,0,1.0062834,0,0,0.8148425,0,0.39897692,2.2214296,1.3361247,0.6489159,0,0,2.8493757,2.0065503,0,0,0.748876,0,0,0,5.2014933,0
647,0,0.65416604,0,0,0.016423116,0,0.38180918,0,0.5132084,0,0.50156885,0,3.2500408,1.0236795,0,0,0.30811748,1.7136292,0,0,0,1.0862234,0,1.9901077,1.1776288,0,0,2.3985376,1.1341102,0,0,0.9795992,0,0,0,0.81677896,0,0.22799915,0.029412681,0,0,0,1.2150904,0.7602935,0,0,3.7011008,0,5.099773,1.0776541,0
648,0,0,0,1.6603822,0.30942878,3.296741,0,0,0,0,0.14234602,0,1.2154526,0.21337028,0,0,0.44681546,0,0,5.558983,5.8532095,0,0,1.8328413,0,0.9990933,0,0,0,0.017587958,0,3.4613013,2.8488867,0,0,0,0,0,0,0,1.7042238,0,0,0,0,0,0,0,0,0,0.40756598
649,0.9417287,2.9225628,0.604675,0,0,0,0.24617274,0.42418852,0,0.8114609,0,0,0.31600654,0,0,0,0.25366992,1.4815891,0,1.5699898,1.7545352,0,0,3.337592,0,0,0,0.79568857,0,0,0,1.1512179,0,1.4520729,0,0,1.2461246,1.5447818,0.24053767,0.317116,0,0,0.6443967,0.5431662,2.2431905,0,8.354783,1.2776355,0,0,2.2855794
650,0,0,0,0,0,0,0.78904563,0,0,1.017127,0,0,1.1336287,0.8849245,0,0,0.3112779,0,0,4.821361,0,0.03492838,0,8.667506,0,0,0.90417606,3.0020096,1.8733186,5.6331115,2.8593593,0,1.162863,0.5341653,0,0,0,1.8619643,1.1943809,1.0316846,0.68064046,0,0,1.6938642,0,2.3467438,4.2503414,0.4330202,0,0,2.236108
651,0,0,0,0.25353488,0,0.9613224,0,0,0,1.5636412,0,0,0.7000941,0,0,0,0.3670551,0,0,2.085372,0,0,0,2.938569,1.3848305,0,0,11.793982,0,0,0,0,0,0.14177965,1.4658053,0.7330669,0.9625205,0,0,0,0.053543452,0,0,0.98481154,0,2.2126894,0,0,0,1.1991856,0
