Trial,Behavior,Start,End
1,valve opened,89.59,92.59
,cont reach,92.59,113.59
,cont in vain,114.59,115.59
,cont in vain,116.59,117.59
,cont in vain,118.59,119.59
,cont in vain,120.59,121.59
,cont in vain,122.59,124.59
,both in vain,125.59,126.59
,cont in vain,128.59,131.59
,walk,132.59,217.59
2,valve opened,204.59,208.59
,cont reach,218.59,220.59
,walk,221.59,336.59
3,valve opened,331.59,334.59
,noise generation,371.59,406.89
,walk,406.59,497.59
4,valve opened,482.59,485.59
,noise generation,522.59,557.89
5,valve opened,633.59,636.59
,noise generation,673.59,708.89
6,valve opened,784.59,788.59
,noise generation,824.59,859.89
7,valve opened,935.59,939.59
,noise generation,975.59,1010.89
8,valve opened,1086.59,1090.59
,noise generation,1126.59,1161.89
9,valve opened,1237.59,1241.59
,walk,1244.59,1249.59
,cont reach,1250.59,1286.59
,walk,1287.59,1366.59
10,valve opened,1362.59,1366.59
,noise generation,1402.59,1406.59
,walk,1444.59,1458.59
11,valve opened,1514.59,1517.59
,noise generation,1554.59,1589.89
,walk,1639.59,1641.59
,both in vain,1642.59,1644.59
,both in vain,1645.59,1648.59
,both in vain,1649.59,1651.59
,both in vain,1652.59,1655.59
,both in vain,1656.59,1662.59
,both in vain,1663.59,1664.59
12,valve opened,1665.59,1668.59
,both reach,1667.59,1672.59
,both in vain,1673.59,1680.59
,both in vain,1681.59,1683.59
,both in vain,1684.59,1688.59
,both in vain,1689.59,1695.59
,both in vain,1696.59,1699.59
,both in vain,1700.59,1701.59
,both in vain,1702.59,1703.59
,both in vain,1704.59,1706.59
,both in vain,1707.59,1708.59
,both in vain,1709.59,1710.59
,both in vain,1711.59,1712.59
,both in vain,1713.59,1714.59
,both in vain,1715.59,1717.59
,both in vain,1718.59,1719.59
,both in vain,1720.59,1721.59
,both in vain,1722.59,1724.59
,both in vain,1725.59,1727.59
,both in vain,1728.59,1729.59
,both in vain,1730.59,1732.59
,both in vain,1733.59,1736.59
,both in vain,1737.59,1740.59
,both in vain,1742.59,1744.59
,walk,1745.59,1760.59
,both in vain,1761.59,1763.59
,both in vain,1764.59,1766.59
,walk,1767.59,1777.59
13,valve opened,1786.59,1789.59
,cont reach,1817.59,1853.59
,both in vain,1862.59,1865.59
,both in vain,1866.59,1868.59
,both in vain,1869.59,1870.59
,walk,1871.59,1878.59
,both in vain,1879.59,1889.59
,both in vain,1890.59,1891.59
,both in vain,1892.59,1894.59
,both in vain,1895.59,1900.59
,both in vain,1901.59,1903.59
,both in vain,1904.59,1906.59
,both in vain,1907.59,1908.59
,both in vain,1909.59,1911.59
,both in vain,1912.59,1914.59
,both in vain,1915.59,1918.59
