x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053
363,0,0,0,0,0,0,0,0,0,0.9768132,3.3055253,12.860445,2.7025573,0.4947301,2.1989343,0,2.80672,0.74283236,0,2.2057889,5.0616755,3.8711567,2.9418077,4.118568,1.014258,0,0,0.2204079,0.43289664,0,0,0,0.61660534,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0591326,5.821075,0,6.711145,0,0,0,0
364,0,0,0,1.7088534,3.5293157,0,0,0,0,0,0,8.91045,0,0,3.0289383,0.9484381,0,0,0,0,1.2921275,0,0,0.2785319,5.272307,0,0,0.66665435,0,0,0.16890082,4.290726,0,52.685543,24.601295,3.7815063,25.206802,2.0015252,17.1223,0,0,0.2815569,0,5.1206913,3.7575393,2.3669426,0,0,0.7843134,0,0,0,0,1.0863886
365,6.0537066,0,3.4766002,0.25550312,0,0,0,0,2.4961934,0,6.3244,0,0,0,0,0,0,0,0,1.0681086,0,0,0,0,0,7.40564,7.7508864,0,0,5.422954,1.1709876,0,1.1176205,0,2.589578,0,0,0.7384006,0,12.447358,0,4.7560725,1.0528628,0,0.23655495,0,0,9.044988,0.23587358,4.4640026,0,0.64032215,2.2186005,0
366,0.51109874,3.1958327,0,4.6168737,0,4.4344907,2.931849,4.938346,0,2.6158113,0,5.00205,4.4177194,5.0222898,5.7993813,3.7560992,0,0.44882315,1.6910107,0,7.022595,0,0.6681128,0,2.1274025,1.3669473,3.3849185,0,0,0,2.7000613,1.3817949,0,1.4173771,0,0.49802673,3.1784189,2.0445733,0,18.649622,5.142453,1.7908738,0,0,3.8932595,0,0,8.464723,0,0,2.6878421,0,0,0
367,0,0.1474899,0,0,0,0.13472056,0,2.8980055,0.7947448,0,6.9413633,2.4889467,2.209844,2.3422196,16.560066,0.5348201,7.3844275,0,1.6722722,0,10.503003,4.4196,4.92137,0.14076841,0,0,2.692132,0,2.840234,16.013224,2.5507803,6.239853,5.0163827,10.59473,22.448044,0,0,0,0,7.855056,1.0837915,3.9207735,0,0,0.86824864,2.665528,0,4.98682,0,0,2.05046,0,7.8003683,0
368,2.2542899,2.7393184,2.4354827,0,0,0.85596067,0,0,3.4046412,2.4572594,0.40046188,2.8727114,0.5008894,0,7.737155,0,0,3.801957,0,5.0678153,4.2512894,18.30393,0,0,0,3.9836326,6.0007477,0,0,5.966175,1.4836124,0,1.6982217,0,12.557276,0,0,0,0,13.570073,6.7515936,0.45703942,0,0,1.4307007,0,0,0,0,0,0,4.28763,11.917967,0.9102634
369,0,2.800755,0,0,0,0,0,0,0,3.2871308,1.8500085,0,0,2.2814603,0,0,2.2060657,0.5055539,4.1121945,0,0,1.8535621,0.37410477,2.0191865,1.9338186,0,0.98228425,0.36261487,0,0,0.3268412,0,0.97312504,0,0,0,0,1.629081,0,0,3.7945404,0,0,0,1.6313343,8.301158,4.5314703,0,0,0,5.4203258,0,7.4436493,0
370,0,0,0,4.779631,0.19411929,0,0.066399254,0,0,0,0,0,0,0,16.629244,7.048421,0,0,0,0,0,0,0,0.5395599,0,0,0,4.224101,0.7556304,0,0,7.2450905,0,47.403202,9.803051,9.448904,44.80403,2.807589,19.151499,0.2393343,0,2.2688384,0,5.5350475,3.1707313,4.7045527,0.81098014,0,0.61063373,2.7357519,1.8111804,1.727504,0,0.4475311
371,0.23766351,0,0,2.325606,0,2.3408484,0,2.4434047,17.750706,1.7323565,11.141249,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5384295,10.027414,3.9248803,0,0.4866967,4.2220025,3.3765244,0,0.004579367,0.5439557,34.91414,0,0,1.1315479,0,7.128663,0.14558087,3.807725,0,0,5.988708,8.882324,0,0,4.3748937,0.9668904,0,0,7.3803864,0
372,0,0,2.897167,0,0,1.601855,0,0.3721719,0,7.3821297,2.990459,0,0,0,0,0,0,3.7231975,0,0,10.300961,0,2.0479608,0.5908918,0,0,1.8850459,0,0,9.284797,0,0,0,0,0,0,0,0.6538298,0,0,0,1.6512817,0,0,0,0,2.914943,23.049107,0,0,0,0,17.023623,0
