x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029
222,2.1976469,4.864188,2.223576,9.3149805,2.6771576,4.1419554,4.4377775,0,8.614344,9.369466,0.14775284,8.532896,0,11.469608,15.944744,12.521169,11.80948,12.363357,3.4590032,2.1896126,3.4346483,9.181311,0.956102,9.022997,13.982747,7.0250554,4.994968,3.6068358,6.175229,0.8517021
223,0.39885762,0,12.880485,2.5058358,0,5.229303,1.0849197,0,7.1697373,9.19893,0,6.1409507,3.6476266,7.6727753,12.56356,18.101254,1.950485,11.052667,1.0098867,3.569478,2.5178714,4.987563,3.8741012,4.052528,9.122609,0.56205314,0.24952179,1.6784886,5.8453217,1.2253604
224,0,1.82801,11.83136,8.260601,2.3687503,2.2941115,2.528791,2.7856622,6.029845,5.3220744,0,3.0200799,0,6.736908,11.434074,9.287921,1.2782451,3.8184338,5.224315,5.613421,1.6043975,4.6460767,2.4104087,0.9850398,6.073072,0,0,0,5.530948,0
225,0,2.9397566,7.7893133,2.0268455,1.8035604,2.1061385,1.6007842,0.17616479,8.451442,5.0285444,0,0.4876171,0,5.2753124,3.80989,7.514534,8.301429,0.12030987,0,2.6768463,1.071164,6.6803718,5.45737,2.5540948,6.002191,0,0,0,3.9101105,1.4207221
226,0,0,1.973062,0.60656583,0,0,4.441807,0,7.3890605,1.6704417,0,0,0,2.8231144,0,0.25861773,6.7934017,4.0981865,0.6811164,3.5993676,0.1236835,3.9616263,3.8370802,1.4178178,0,0.7016707,0,0.07781846,3.2496262,1.3687689
227,0,1.2958745,0,0.9812846,2.0397954,0.9362844,0,1.4928665,5.070859,1.9587932,0.27624956,0,0,0.3480618,1.0808682,3.950553,1.181126,1.2811512,2.1882496,2.0621665,1.2558917,3.4778996,4.271728,1.4139534,0.4305527,0,0,0.06729068,3.2668161,0.028323542
228,0,0,0,0,0.24213146,0.55750054,1.725741,0,7.3869014,0.7156622,0.7570321,6.7184887,0.65940845,0,0.09191172,2.0513456,0,1.2164838,0.8154233,3.5040033,0,0.7373759,3.1446078,1.1200289,0,0,0,0,0,0
229,0.79788023,0,0,0,1.5069977,0.06885435,0.03972474,2.1031814,1.8147037,0,0,0,0,0.40578678,0,0,1.7133967,0,0,0.8556921,0,2.4685466,3.2942612,0,1.1518644,0.29798532,0,0,0,0
230,0,0,0.28994784,0,0,0,1.6973698,0,2.294428,0,0,0,0,0,5.2099805,0,0,0,0,2.3936815,0,0,3.600411,0.030447328,0.024852091,0,0,0.48572958,0,0
231,0.82841486,0,0,0,0,0.13385886,0,0,2.7613404,0,0.027834268,1.9897029,0,0,0,1.6259991,0,0.7447415,0.10906327,0.4311214,0,0,4.757832,0,0,0,0,0,0,0.7497071
232,0.27170318,0,0,0.121438794,0.001762806,0,0.8156101,0,0.9091969,0,0,1.1593314,0,2.1747112,0,0,0.79525644,2.8933794,0,0.49247262,0.45601082,1.6445335,0.18471722,0,0.6972559,0,0,0.9391793,0.24276456,0.021847636
233,0,0.3436779,0,0,0,0,0,0,3.1463194,0,0.6905433,0,0,0,2.8793483,0,0,0,9.636262,1.3231738,0,1.2165065,0,0.07457272,0,0,0,0,0.50301594,0
234,0,0,0,0,0.24723709,0.046247374,0,1.697147,1.6065265,1.4105409,0,0,0.32919362,0,0.18127842,0,0,0,0,0.29971948,0,0.112063885,1.0121197,0,0,0,0,1.014525,0.6701491,0
