Trial,Behavior,Start,End
1,valve opened,89.59,92.59
,noise generation,128.59,163.89
,walk,234.59,306.59
2,valve opened,240.59,244.59
,noise generation,280.59,315.89
3,valve opened,391.59,395.59
,walk,393.59,397.59
,cont reach,398.59,401.59
,both in vain,402.59,404.59
,both in vain,405.59,406.59
,both in vain,407.59,409.59
,both in vain,410.59,412.59
,both in vain,414.59,418.59
,both in vain,419.59,421.59
,walk,422.59,427.59
,cont in vain,428.59,432.59
,walk,433.59,471.59
,walk,508.59,512.59
4,valve opened,511.59,515.59
,noise generation,551.59,586.89
,walk,583.59,587.59
5,valve opened,662.59,666.59
,walk,665.59,667.59
,cont reach,668.59,671.59
,both in vain,672.59,674.59
,both in vain,675.59,679.59
,both in vain,680.59,683.59
,both in vain,684.59,685.59
,both in vain,686.59,689.59
,walk,693.59,703.59
,walk,733.59,738.59
,both in vain,739.59,740.59
,both in vain,741.59,743.59
,both in vain,744.59,745.59
,both in vain,746.59,748.59
,both licking,752.59,754.59
,both in vain,758.59,760.59
,both in vain,761.59,762.59
,both in vain,763.59,764.59
,both in vain,765.59,767.59
,both in vain,768.59,771.59
,both in vain,774.59,784.59
6,valve opened,781.59,785.59
,both reach,785.59,786.59
,both in vain,787.59,788.59
,both in vain,789.59,791.59
,both in vain,793.59,796.59
,both in vain,797.59,799.59
,both in vain,800.59,802.59
,both in vain,803.59,808.59
,walk,809.59,813.59
,both in vain,814.59,816.59
,walk,817.59,822.59
,both in vain,823.59,825.59
,walk,826.59,835.59
,both in vain,836.59,837.59
,walk,838.59,881.59
,both in vain,882.59,885.59
,walk,886.59,887.59
,both in vain,888.59,890.59
,both in vain,892.59,895.59
,walk,896.59,906.59
7,valve opened,897.59,901.59
,noise generation,937.59,972.89
,walk,971.59,977.59
,walk,1006.59,1021.59
,both licking,1022.59,1047.59
8,valve opened,1048.59,1052.59
,both in vain,1048.59,1050.59
,both reach,1051.59,1055.59
,walk,1056.59,1058.59
,both in vain ,1059.59,1062.59
,walk,1063.59,1070.59
,cont in vain ,1071.59,1075.59
,both in vain,1077.59,1079.59
,both in vain,1080.59,1083.59
,both in vain,1084.59,1087.59
,both in vain,1088.59,1091.59
,both in vain,1093.59,1097.59
,both in vain,1099.59,1103.59
,both in vain,1104.59,1108.59
,both in vain,1109.59,1112.59
,both in vain,1113.59,1114.59
,both in vain,1115.59,1120.59
,both in vain,1121.59,1125.59
,walk,1133.59,1147.59
9,valve opened,1165.59,1169.59
,noise generation,1205.59,1240.89
10,valve opened,1316.59,1320.59
,noise generation,1356.59,1391.89
11,valve opened,1467.59,1471.59
,spout removed after whisker detection,1507.59,1511.59
12,valve opened,1583.59,1587.59
,both reach,1587.59,1592.59
,walk,1593.59,1597.59
,both in vain,1598.59,1601.59
,both licking,1602.59,1607.59
,both in vain,1608.59,1611.59
,both licking,1612.59,1614.59
,both in vain,1620.59,1633.59
,walk,1634.59,1656.59
,walk,1659.59,1674.59
,walk,1695.59,1699.59
13,valve opened,1699.59,1703.59
,cont reach,1703.59,1706.59
,both in vain,1707.59,1717.59
,both in vain,1718.59,1729.59
,both in vain,1780.59,1793.59
,both in vain,1794.59,1801.59
,both in vain,1803.59,1816.59
14,valve opened,1816.59,1820.59
,cont reach,1819.59,1836.59
,walk,1905.59,1913.59
15,valve opened,1933.59,1937.59
,cont reach,1936.59,1947.59
,walk,1948.59,1952.59
,both in vain,1953.59,1956.59
,cont in vain,1961.59,1968.59
,walk,1970.59,2002.59
16,valve opened,2049.59,2053.59
,noise generation,2089.59,2124.89
17,valve opened,2200.59,2204.59
,noise generation,2240.59,2275.89
18,valve opened,2351.59,2354.59
,cont reach,2355.59,2368.59
,both in vain,2369.59,2374.59
,both in vain,2375.59,2378.59
,walk,2379.59,2395.59
19,valve opened,2467.59,2471.59
,noise generation,2507.59,2542.89
,walk,2544.59,2560.59
20,valve opened,2618.59,2622.59
,noise generation,2658.59,2693.89
21,valve opened,2769.59,2772.59
,cont reach,2773.59,2799.59
,walk,2846.59,2868.59
22,valve opened,2885.59,2889.59
,noise generation,2925.59,2960.89
23,valve opened,3036.59,3040.59
,cont reach,3059.59,3061.59
,walk,3067.59,3072.59
,cont in vain,3073.59,3079.59
,walk,3080.59,3082.59
,cont in vain,3083.59,3088.59
,walk,3089.59,3154.59
24,valve opened,3172.59,3176.59
,walk,3208.59,3211.59
,noise generation,3212.59,3247.89
,walk,3283.59,3288.59
,walk,3315.59,3319.59
25,valve opened,3323.59,3327.59
,noise generation,3363.59,3398.89
,walk,3364.59,3367.59
26,valve opened,3474.59,3478.59
,cont reach,3478.59,3514.59
,walk,3515.59,3527.59
,both in vain,3528.59,3530.59
,both in vain,3531.59,3534.59
,both in vain,3538.59,3540.59
,both licking,3541.59,3545.59
,both in vain,3547.59,3550.59
,walk,3551.59,3580.59
,both in vain,3581.59,3584.59
,walk,3585.59,3608.59
27,valve opened,3590.59,3594.59
,walk,3616.59,3631.59
,noise generation,3630.59,3665.89
28,valve opened,3741.59,3745.59
,walk,3744.59,3752.59
,noise generation,3781.59,3816.89
,walk,3887.59,3895.59
29,valve opened,3892.59,3896.59
,cont reach,3896.59,3901.59
,walk,3902.59,3908.59
,cont in vain,3909.59,3913.59
,walk,3914.59,3934.59
,walk,3941.59,3945.59
,walk,3997.59,4004.59
,both licking,4005.59,4010.59
30,valve opened,4008.59,4012.59
,both reach,4012.59,4015.59
,walk,4016.59,4019.59
,both in vain,4020.59,4022.59
,both in vain,4023.59,4028.59
,both in vain,4031.59,4041.59
,walk,4042.59,4066.59
,both in vain,4067.59,4072.59
,both licking,4073.59,4081.59
,both in vain,4082.59,4083.59
,both in vain,4084.59,4085.59
,both in vain,4086.59,4087.59
,both in vain,4088.59,4090.59
,both in vain,4091.59,4092.59
,both in vain,4093.59,4094.59
