x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2.189848,0.006256108,0.5063315,0,0,0,5.0457273,0,0,1.6339666,1.1705755,0.081219845,0,0.29673973,6.2831473,0,4.052939,0.21588466,0.16894048,1.9382154,0.5703731,0,0,1.557039,3.4355178,0.23515582,0,3.406135,0,0,0,0.1168837,2.9805038,0.030030169,0,0,2.1251636,0,0,0,0,2.557933,0,0,0,0,0,0
2,0,0,0,1.4776071,1.0249717,0,0,0,0,0,0,2.7032526,4.0452523,0,0,0,0,2.6911116,0,0,0,0,0,5.1889577,5.379136,0,0,1.4906236,1.5364575,0,0,3.232836,0.46164608,0.7661077,4.0324383,8.203543,0,0,0,0,0,0,0,0,4.753735,0,0,0,0.5719724,0,0.42706794
3,0.12446394,0,0,0.36213118,0.8162716,0.8780687,0.87746257,0,0,0,0,0,0,0,0,0,1.3530604,0,0,3.4912207,0,0,0.23363724,0,2.284022,0,1.2781875,4.03496,2.9939284,3.3513868,0,2.6700108,0,0,0,0,2.524355,1.2933968,0,0,1.2558672,0.08173017,0,0.12879558,0,0,1.6834913,0,4.457569,1.5092343,6.354147
4,0,0,2.1989176,0.42107108,0,0,0,0,0,1.5361435,0,2.5953152,0,1.8857992,1.3207995,7.2421694,0,0,5.2459683,0,1.3988901,0.23567937,0,1.8226405,0,2.171092,0,4.326061,0,0,0,4.310478,0.29546884,0,0.90044993,0,0.37739325,0.5376711,1.0818342,0,2.3214018,1.7682276,0,0,0,0,0,0,0,0,0
5,0.24607603,0.34033674,0,1.2555315,0.058217917,0,0,1.6034906,0,0,0,0,0,0.43637115,0,0,1.7433902,7.495537,1.7053542,2.7955408,0.14803356,0.6667088,2.186151,0.04590111,0,0.4442758,1.6625758,0,2.233965,3.4111407,0.7673114,1.7841518,0,0.60885143,0,3.4804263,0,1.9714538,6.424662,0,3.624605,0.16151142,1.0248383,0.27789417,0,2.261562,3.0398216,0,0,6.280266,0
6,0,0,0.47404706,1.1252422,0,1.3567768,0.19243927,3.6296685,0.85311633,0,0,0,1.624747,0,1.2405753,0,0,0,0,0,0,0,1.1577235,0.26046577,4.988278,0,0.7718481,0,0,0,0.487066,0,0,1.6849662,0,0,0,0,1.0976467,0,1.1594629,0,2.6293793,0,4.310769,6.9983764,2.0414693,1.6781766,0,0.43469396,0
7,0,8.610114,0,0,0,0,0.9138974,0,0.148765,1.4257283,0,0,1.8945531,0.19325423,0.9679808,9.460317,0,0.9494787,6.1391225,0,0,2.420556,0,0,0,1.8799015,1.1138175,2.6419635,0,0,0.08892318,0,0,1.1293247,0,0,0,1.0595555,2.8442645,0,0,0,0,0,0,0,0,0,0,0.55181146,0
8,2.0628214,2.2601342,1.058826,0,0,0,0.11465065,0,0,0,0,4.2254715,0.124982424,0,7.547997,0,0,0,0,0,0,0,1.8302737,0,5.9790955,0,0,4.72492,2.282264,0,0,0,13.573648,0,0,0,0,0,0,5.890026,0,0,0,0,0,0,0,3.2071674,0.934283,2.7924607,0.1469725
9,0,0,0.27439773,0.72282356,0,0,0,0,0,0,0.90153545,0,0,0,0,0,0.3949599,0,0,0,0,0.16432084,0,0,0,0,0,0,1.0949992,3.093956,2.7474926,0,0,0,0.6142672,0,0.8737414,1.446134,3.444318,0,2.1865222,2.2261019,0,1.8909585,0,5.4926963,3.7094476,9.185727,1.6638348,0,0
10,0,3.090454,0,0,0,0.2780305,0.005317879,0,0,0,0.32381216,0,0.36170474,0,0,0.5546931,2.574059,4.416775,1.6608795,0,2.9428413,0,0.6081743,0,0,0,0,0.3110938,0,0,0,0,0,1.3400991,1.2025582,0.45750403,0,0,2.3250492,1.7435954,3.1315465,2.4469008,0,0.81216186,11.325597,4.7936487,0.23543185,1.8739378,0.97698814,0,0
11,0,0,1.2140775,0.91408426,0,0,0,0,1.1668003,5.379561,0.68716127,0,0,0,1.343555,2.3959534,1.1371858,0,2.9847598,4.1422167,0,1.6072114,0,0.21832454,2.8708973,0,0,0,0.06757866,0,0.62452596,0.18752067,0,0,0,0,0.2273244,1.3110518,0,0,0,0,0,1.343871,0,3.7366793,3.0733917,7.527938,0,0,0
12,0,1.3258421,0,3.3724506,0,0,0.6503413,0,0.745785,0,0,2.6387694,0,0,9.909927,0.7245992,1.012542,0,2.229939,0,0,0.5237205,3.0101912,0,0,1.0439445,0,0.86719084,1.4812443,0,0,0.9665732,0,0,0.29652947,1.6398885,2.1921,0,0,1.2745868,2.2309651,0,0,0,0,0,0,0,0,1.7470986,3.0188267
13,0,0,0,0,0,3.795742,0,0,0.13607202,0.66315275,3.317494,0,0,1.227196,0,0,0,0,0,0,3.2513342,0,1.4636884,0,0,0.7179513,0,0,1.2495445,0,0.48297063,0,0,0.4750965,0,0.6405009,1.605772,0,4.136742,0,0.98599136,0,0.49069017,0,0,0,1.8571571,0,2.7159925,0,3.181806
14,0,5.7605047,0,0.6495568,0,0,0,0.46124658,0,2.5484033,0,0.17267908,1.559108,0,0,0,1.6615144,0,0.6118818,0.9486007,0,0.9973366,0.59151995,0,0,0,0,0,0.09830706,0.56260175,0.36335534,6.86074,4.915196,0.70611566,0.27757415,4.130312,0.10600209,0,2.5726323,4.037672,0,0,0,0,1.3657248,0,0,10.698978,1.5654341,7.280809,0
15,0.3457703,0,2.4246128,1.7228135,0,0,0.91979957,0.6124609,0,0.8330832,0.21392174,3.631196,1.9669976,0.30603635,0,0,0,11.383533,0,0,0,0,0,1.9135733,6.532998,0,1.8107277,0,3.9693074,2.4382465,0,3.990935,2.007963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49642807,0,0,0,0
16,0,0,0,0.53904516,0,0,0,0,1.9791952,3.7753377,0,0.5146862,0,0.8604423,0,0,0,0.37769973,0,2.471336,0.41668695,0,0,0,2.671952,1.0947833,0,0,0,0,0,3.838072,0,0,0,2.4148927,0,0,0,4.30729,0,0,0,0.3135947,0,0,0,0,0.4169457,0,0
17,3.3305986,0,0.96682906,1.7528952,0.49184227,0,0,0,0,0.22567925,0,0,0,0.31562275,10.6785555,5.148186,1.3697819,9.857992,3.3898451,0,0,0,0.873546,0.85486513,0,0,3.0991995,0,0.9741261,0,0,1.5486351,12.731097,1.0871878,0,0,0,0,0,2.6578982,0,0,0.47304854,0,4.034226,0,0,0,0,0,5.021689
18,0.026266675,0,0,0,1.2208405,1.8902928,1.92967,0.02582653,0,0,1.5151315,0,0,0,5.530572,0.4181889,0,0,0,0,1.0292752,0.7185972,0,0,0,0,1.5968759,0,0,2.191127,0,6.103751,0,0,0,0,0,0,0,0,0,0.15833668,0.09849477,0,0,0,0,0,0.15175153,8.836157,0
19,3.6180367,0,0,0,0,0,0,0.83280474,0,4.491494,0,3.4166756,0,2.853238,0,0,0.57782495,0.04484393,1.6843816,0,0,0,0,0,0,0,0,2.833866,0.9985939,0,0,0,16.264448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2337149,0
20,1.893412,0,0,0.039288696,0,0,0,0.7508351,0,0,0,0.03562011,1.8982495,0,0,0,0.5961255,0,0,3.7292411,0,0,0,0,5.153132,0,0,0,0.33324566,0,0,0.54567295,3.1877346,1.0950551,1.2034435,3.354559,0,0,0,0,0,0,0,2.2657413,0,0,0,0,0,0,0
21,0.12008814,0,0.49157697,0,0,0.9834765,0.32873672,0,0,0,1.0356393,0,0,0,0,2.6910603,0,0,0.78467906,4.0013556,0.3611178,0,0.18016641,0,3.7697644,0.32299173,1.3014827,0,0,0,0,0.2257626,0,0,0.1295293,0,0,0,0,0.7334016,0.34041464,2.6219695,0.93250215,0,0,3.4724154,0,0,0,0.82404965,0
22,0,1.6202489,0,0,1.7346717,0,0,0,0,1.5802069,0,0,0,0,0.044851184,5.0039682,0,0,0,0,4.8452883,0,0,0.9953591,3.3879173,0,0,0,0,0,0,0.7047151,4.1371684,2.2236788,0.7670338,0.32073092,0,0,0.21039714,0,0,0,0.9117737,0,0,2.3967142,0,0,0.8758736,0,0
23,0,2.7315981,0,0.10805484,0,0,0.38162184,0.8058617,0,0.33787778,0,0,0,0,0,0,0.88416654,0.31315705,0,2.3664167,0,0,0.48599294,0,0,0.6274362,0,0.34976503,0,1.8311297,1.6474938,0,2.8936315,0.9442235,0.20313689,0,0,0.31233943,5.8167486,0,1.3076291,0.1191193,0,0.24418145,0.62498075,0.58956844,0.011347343,0,0,2.1078525,0.8820702
24,0,3.3967686,0,1.3766505,0.1042781,1.3988957,1.0391101,0,0,0.16623963,0,1.4004964,0,0,9.444804,0,0.6677517,1.3202349,0,0,0,1.6194503,0,0,1.9212683,0,0.80689716,5.014004,2.9890544,2.0854287,1.6631757,0,0,0,0,0,0,0.95760113,0,3.3646812,0.8463106,3.2924743,0,0,0.7218626,0,0,2.5916526,0,0,0
25,0,0,0.5157437,1.9724553,0,0,0.07267652,0,2.208326,0,0,0,0.7298207,0.07865252,5.181686,0,0.38653636,0,0,0.83884716,0,0,2.0100684,1.890558,5.4697185,0.8267082,0,0,0,0,0,0,0,0,0,0,0.2404025,0,0,0,0,0,0.3829542,0.60660565,0,0,0,0,1.0709114,3.7645817,4.412361
26,0,0,0.19445956,0,1.3071879,2.750556,0,0,0,0,0,0,0,0,0,6.9142346,1.5434246,0,3.5526464,0,1.4091096,0.72164506,0,1.0825336,0.09684406,0,0,0,1.2547204,2.5239468,0,0,0,0,0,0,2.3304107,0,4.037863,0,1.8064235,0.52384716,0.6175873,1.268055,5.6917458,0,2.277641,10.804537,3.7569056,0,0.94385797
