x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061
11,1.1726396,3.461341,0,1.135904,0,0,0,0,0,1.3297342,0,0,0,0,3.7005246,0,0.25415024,0,0.23472726,0,0,0.20242745,3.281235,0.3715201,0,0.76067597,0,0,0,0,0,1.5149504,0,0,0.89604187,0,0,0,0,0,0.012925929,0,1.4487921,3.821021,0,2.6335957,0.52624965,0,0,3.9726453,0,0,0.19656034,0,9.57036,0.011622486,0,0,0,0,0,0
12,0,0,3.7314446,0,0,8.559166,1.3475063,0,0.98969424,0,0.70065725,0,0,0,2.3090568,0,0,0,0,0,0.08693781,0.055409424,1.4147553,0,0,0,0,0,1.5468494,0.40381372,0.877381,1.9537213,0,0,0,0,0,0,0,0,0,0.30929738,0,0,1.3068275,1.575192,1.6219286,0,3.7099247,3.2601216,0,0,0,1.7624872,0,1.2523049,7.916236,0,0,0,1.9714546,0
13,0,0,0,0,0.12964933,4.3669014,0,2.2742112,6.635692,0,0,0,0,0.75893325,0,0,0.03337191,0,0,0,0,0,0.45399597,0,0,0,0,0,0.6177055,5.146028,0.12960052,0,0.11065369,0,1.419079,0.037985347,0,0,1.9664629,0.09685762,0,0,0,0,2.8561566,6.3276787,0,0,0,0,0,0.012387322,0,0,0,0,0.4125235,0,0.12395204,4.358918,0.1675159,0.47992572
14,0,0,0,0,1.942803,0,0,0,0,0,0.64928037,0,1.8115652,3.1089754,0,0,0,0,0,0,0,0,0,6.476225,2.0233586,0,3.7564867,0,0,1.1648799,0.039148547,1.5207093,2.0083265,0,3.3292933,1.109597,0.45839882,0,0,0,1.6315787,0.9966496,0,0.8864782,0,0,0.44767854,4.5347342,1.3567972,0,0,0.25234982,1.2687793,2.4706352,0,2.683079,1.7604835,0,0.73782444,0,0.67704153,1.6009854
15,0.042916205,0,1.994599,0,0,0,0,0,0,0.2251336,0.7795477,0.13168462,0.17388391,0,1.3959073,0,2.1277733,1.7307789,0,0,0,0.48156792,0,0,0.57542247,0,4.525538,4.4188185,0,1.401059,0.44934157,2.2443972,0,0,0,0.16994157,1.4041482,0,1.9889084,0,0,0,0,5.969868,0,0,0,6.745639,0,0,2.4698362,0,0.2550919,0,6.990414,1.0476575,0,3.4266531,0,0,0,1.953162
16,0.6421897,1.3071878,0,3.1358745,0,4.595663,0,0.82252395,0,0,0,0.6210094,0,0,0,0.8272396,0.093930356,1.9748709,0.9839885,0,3.6692402,0,0,0,0,0,0.56984574,1.976458,0,0.4039958,0.3849855,0,0,2.3680935,0.33276084,2.522861,0,0,0.9479005,0.24216035,0,0.70762223,0,0,2.2737725,7.3033786,0,0,0,2.7313373,0,0,1.1559908,2.0560484,3.718712,0,0,1.563677,0,0,1.4744111,0
17,2.0966191,3.1147156,0.37686506,0,5.1958485,0,4.830647,0,0,0.28533226,0,0,0,0.84110475,0,0,2.5060356,1.3964242,0,0,0,1.0203458,0,4.525478,3.8924835,0,0,0.8712886,0,3.6450107,0.040074687,0,0,0,0,0,0.6796287,1.0249677,5.0551505,0.6222906,0,0,0.9629789,0,0.97309095,0,0,2.1642337,0,0.45888424,0,0,0,0,0,0,4.0570917,0,0,0,0,0
18,0,0,0,8.113731,0,0,0,1.9103876,0.5051551,0,0,0,0,0,1.7264313,0,0,0,0.22257932,0,1.2224064,0,0,0,0,1.1845257,0,0,2.2648447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1738298,10.307627,0,3.3089688,0,0,0,0,0,3.0290413,0,0,0,0,0,0,4.680893,0
19,0,0,0,0,2.3815782,0.17305608,1.4524213,0,1.3278432,0,0.21374224,0,4.371345,0,0,0,0,0,0,0,0,0,0,3.2599733,12.4512415,0.70865524,4.2825794,0,0,0,0,0,0,0,0,0,3.566483,0.53200966,0,0,0,0,0,0.77947766,0,0,0,0,4.1325574,0,0,1.6690458,0,0,0,0,0,0.31656277,0,0,0,0.92581904
20,1.6964794,0,0,1.3073779,0.7494901,2.3651767,3.3116498,0,0,0.82600725,0,0,0,0,0,0,1.7900642,0,0,2.1217213,0,0.32944393,0,0.6040553,0,0,0,1.1331737,0,5.928207,0,0,0,0,0,1.1950593,0,0,0,1.5671902,0,0,0,0,0.52172714,0,0,1.0514007,0,3.8459635,3.826288,0,0.0630862,0.60397583,0,0.82070696,0,0,0.87876153,0,2.6347964,0
