x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
34,1.2900276,6.697391,0,0,2.762602,0,0,0,0,0,0,0,0,2.5170798,0,3.21201,0,0,0,0,0,0,0,2.263684,3.7767804
35,3.036264,0,0,4.6183767,1.9042794,0.359435,0,2.8688405,0,0,0,12.185973,0.3630537,0,0,0,0,2.8508081,0.72091967,0,0,0,0.85648143,1.125828,7.6181045
36,0,0,1.9166433,0,17.60084,3.2954376,3.5471578,2.394584,20.002468,4.201161,0,0,0,0,0,5.5380173,5.93483,3.0015864,0,0,7.468204,1.3937684,0.91316146,0,5.3480716
37,0,4.1933103,6.4424167,2.0530546,7.5856147,20.579937,2.1728413,0,8.833424,0,0,11.142399,0,0,0.68227845,12.3908415,18.602251,5.239117,9.908242,0.45610425,14.022067,0,3.3164775,0,0.76925033
38,0,3.4178522,0.67945445,0.15230958,17.304546,1.6731086,5.3137827,1.545033,0,7.440432,0,0,0,0,0,4.988889,1.409807,2.125663,0,0,4.657532,0,2.1383355,5.0372176,5.8562155
39,3.9208264,4.154237,0,6.4067087,0,5.6256495,1.2648051,4.416036,4.596996,5.591296,0,6.9011836,8.492759,0,4.273319,4.164599,2.1498725,0,6.064529,5.4662633,0,0.11506322,0,3.1247277,0
40,2.355111,0.29801813,6.488051,4.6492124,4.099367,19.779482,1.4808911,0.34166303,11.445122,1.9257916,0,7.2303014,3.440113,0,0,0,0.40657613,0,0,0,0,0.40926266,2.9718542,0.20806153,1.4250212
41,0,0,2.4024897,0.59129214,2.5116239,4.756125,2.1005816,3.127912,1.2830523,4.3705387,0,8.694458,0,0,0,0,0,1.9494298,0,0,7.5627923,0,1.3066833,0,0
42,0,0,0.9466224,0,16.336685,6.142248,0,0,3.3763673,11.373371,0,5.940774,0,0,0,0,6.0953207,1.4163951,0,0,15.665183,0,4.1746583,0.31738657,6.360102
43,4.8727894,0,0,1.3655994,0,0,0.14580844,0.035621654,0,4.51733,0,1.6243137,0,2.581891,0,0,0,2.5802982,9.637232,0,0,0,0.7633496,4.199641,0.9945831
44,0,0,0,0,6.5938106,0,2.120118,0,0,0,0,0,0,3.0284352,0,0,0,0.27548516,4.172607,5.08203,9.216668,0.6035704,0,0,0
45,0,2.559679,0,6.6660533,0,0,0,0,0,0,1.7770445,0,5.1985884,0,0,8.626189,0,0,0,0,0,0,0,0,4.1440215
46,0,0,1.1300095,0,0,1.544253,1.2524072,0,0,11.343579,0,0,0,0,0,0,3.7210116,1.759796,0.5172867,5.6034956,9.502791,0,1.122791,0,4.6264997
47,2.9396138,7.80092,0,0,0,0,2.7715836,2.5018544,0,10.2989025,0,0,0,0,0,0,0,0,1.9775292,0,0,0,0,0,0
48,3.4895248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7335851,0,0,0,0,0,8.132352,0,0,0
49,0,0,0,0,0,0,0,0,0,0,4.656699,0,0,0,0,0,0,0,0,0,0,0.070597544,0,0,0
50,0,0,0,0,0,0,0,0,0,0,5.0717793,0,0,4.747472,25.232113,0,0,0,0,12.781788,0,0,1.341487,0,0
51,0,2.9228246,0,0.40769288,0,0,0,0.38439217,0,0,0,0,0,0,0.006799236,0,0,4.890427,2.5009437,0,0,0,0,0,0
52,0.56517047,0,0,4.280126,0,0,0,1.6580437,2.448287,0,0,0,0,3.5618649,10.678828,8.815414,0,0.18690637,2.831122,4.9041257,9.851463,0,0,0,0.88073057
53,0.91074234,0,1.8214693,0,2.4564056,9.006023,1.8907405,0.50738126,18.010155,2.940607,0,0.46163562,0,0,0,16.262781,0,0.12833185,5.8798375,0,6.510849,0,2.0939174,0.3350083,0
54,0,0,1.9324901,8.89564,14.410224,0,1.868456,0,1.5882585,18.583832,0.3480743,0,0,0,0,0,0,3.9535677,0,0,11.937391,0.77021307,0,3.4149787,5.639906
55,1.2587944,0,0,0,3.6882212,21.206186,1.5925983,0.34618065,0,12.56733,0,8.827491,0,0,6.7462363,8.181483,0,0,0,0,12.612093,0,3.0740368,0,1.1386181
56,0,0,6.0934777,0,15.555808,10.161032,3.2720797,2.4218051,0,0,0,1.7441561,13.898069,2.4123688,0,6.878335,0,4.580638,1.3720917,0,3.4555616,0.1723603,8.212801,0.8322778,3.1012244
57,0,10.174317,0.36785352,0.63194233,2.8643804,3.925395,2.1594665,2.7688024,0,9.372583,0,0,6.787689,2.3023615,0,0,4.0260873,3.165839,6.7553883,7.3310676,0,0,0,0,3.8192406
58,2.085636,2.5823703,5.2294073,0,0,4.207101,4.257305,0,10.637183,2.4626083,0,0,2.7143538,0,6.503996,4.592101,0.086928815,0,3.2731905,0,1.2044895,1.9519701,0.031287484,1.8941461,1.8688892
59,0,0,0,3.6216855,0,0,2.7518015,0,2.230891,0.3734241,0.4803163,0,2.6563442,5.428278,0,1.6309143,8.059446,0.38392943,0.12701641,0,0,0,0,0,0
60,3.0150387,0,8.132807,0,6.3522253,8.425927,0,3.3892934,3.7207723,4.2657237,0,4.1865816,1.0943722,0,0,9.914616,3.566164,0,3.757328,0,21.740826,0,3.0705497,2.750231,0.8411128
61,0,9.522778,0,5.214561,13.191854,0,4.137079,0.14495072,0,13.596232,0,1.8755826,0,0.6051415,8.724619,0,0,0,2.656016,0,0,0.60491973,0,0,4.2072525
62,0,0,0,4.17858,0.26558316,8.765064,1.9854325,1.7462076,0,2.5635958,0,7.0134263,0,0,0.07814707,0,8.779349,2.1832297,0,4.5680733,0,0,0,0,1.2676755
63,0,0,2.6330652,0,8.52853,0,0,0,3.0164762,10.382326,0,0.59488666,0,0.8556127,0,2.0150301,5.142995,0,0,0,15.764136,0,2.4424136,0,0.4505197
64,0,27.81019,0,0,1.3582332,0,0.4536111,3.4957345,3.6950374,6.8266983,0,7.789454,0,0,0,5.6560874,0,0.1294389,0,0,10.254049,0,0,0,0
65,0,0,0,1.277813,0,0,0,0,0,6.2702355,0,0,8.847148,0,0,3.4132323,0,0,0,10.023284,0,11.454201,0,0,0
66,0,0,0,0,0,0,0,0,0,0,4.332127,0,0,1.0871164,14.060478,0,0,0,0,0,0,0,0,0,0
67,4.5988503,16.680332,0,1.5776595,0,0,0,1.3071375,4.218232,0,2.9914253,0,0,0,15.19752,0.92896324,0,0,0,0.24550638,16.372036,0,0,0,0.7719815
68,2.1070883,3.5703928,0,0,11.894938,4.130082,0,1.3747852,6.740897,12.273928,0,4.831087,0,0,0,0,0.964614,1.6687003,0,11.956683,2.689855,0,0,1.7463121,0
69,2.3402119,22.335207,7.1090226,0,0,5.2337394,1.5028687,2.3062992,0,15.444674,0,0,2.8701613,0,0,14.740624,0,1.201285,5.545157,0,1.4816633,0,0.849302,0.8192418,3.7992413
70,10.77686,0,3.341256,0,3.2392638,19.862797,4.2669296,0,9.781118,0,0,11.207679,13.274377,0,0,0.71733284,14.108167,0.2749439,0,0,0,0,0,0,1.770199
71,0,0,6.496479,8.390124,0,1.0038716,4.91663,2.849641,14.135201,16.513357,0,2.999972,5.2304883,0,0,0,5.097697,7.1113534,0,0,7.3737345,0.45136032,2.473109,2.6036427,0
72,0,3.0599759,5.572605,0,5.8727694,13.354543,6.5684366,4.7158527,14.807402,9.919716,0,0,3.0071745,0,0,0,6.053718,2.1268175,0,0,14.101576,0,0,0,0
73,0,0,0,0.75864977,0,8.195414,3.1928291,4.574433,18.156506,16.95756,0,9.524126,9.562149,0,0,2.1116145,11.092135,4.5852885,0,0,7.270674,0,0.49298826,0.03665989,1.7750069
