Trial,Behavior,Start,End
1,valve opened,92.59,97.59
,cont reach,97.59,104.59
,cont in vain,105.59,114.59
,walk,115.59,125.59
2,valve opened,213.59,218.59
,cont reach,218.59,225.59
,cont in vain,226.59,232.59
,walk,233.59,245.59
3,valve opened,335.59,340.59
,cont reach,339.59,352.59
,walk,353.59,355.59
4,valve opened,455.59,460.59
,cont reach,459.59,469.59
,walk,470.59,477.59
5,valve opened,574.59,580.59
,walk,578.59,580.59
,cont reach,581.59,585.59
,cont in vain,586.59,598.59
,walk,599.59,609.59
6,valve opened,695.59,700.59
,cont reach,699.59,708.59
,cont in vain,709.59,720.59
7,valve opened,814.59,819.59
,walk,816.59,820.59
,cont reach,821.59,823.59
,cont in vain,824.59,831.59
,cont in vain,832.59,843.59
,walk,844.59,847.59
,walk,919.59,925.59
8,valve opened,935.59,940.59
,walk,939.59,941.59
,cont reach,942.59,948.59
,cont in vain,949.59,959.59
9,valve opened,1055.59,1060.59
,cont reach,1063.59,1066.59
,cont in vain,1067.59,1077.59
,cont in vain,1079.59,1084.59
,both licking,1086.59,1090.59
,walk,1091.59,1097.59
,both in vain,1140.59,1144.59
,walk,1145.59,1152.59
,both in vain,1158.59,1162.59
,both in vain,1167.59,1175.59
,both in vain,1176.59,1178.59
10,valve opened,1177.59,1182.59
,both reach,1183.59,1192.59
,both in vain,1193.59,1200.59
,both in vain,1201.59,1215.59
,walk,1216.59,1223.59
,both in vain,1224.59,1226.59
,both in vain,1227.59,1229.59
,walk,1230.59,1233.59
,both in vain,1234.59,1239.59
,both in vain,1240.59,1242.59
,both in vain,1243.59,1247.59
,both in vain,1248.59,1251.59
,both in vain,1252.59,1255.59
,both in vain,1256.59,1258.59
,both in vain,1259.59,1267.59
,both licking,1281.59,1287.59
,walk,1288.59,1289.59
,both in vain,1290.59,1291.59
,both in vain,1292.59,1294.59
,walk,1295.59,1299.59
11,valve opened,1297.59,1302.59
,cont reach,1300.59,1303.59
,cont in vain,1304.59,1333.59
,both licking,1364.59,1367.59
,both in vain,1368.59,1370.59
,walk,1371.59,1382.59
12,valve opened,1415.59,1420.59
,cont reach,1419.59,1429.59
,cont in vain,1430.59,1439.59
,cont in vain,1440.59,1454.59
,both licking,1456.59,1461.59
,both in vain,1463.59,1465.59
,both in vain,1468.59,1472.59
,both in vain,1473.59,1478.59
,both in vain,1479.59,1480.59
,both in vain,1481.59,1488.59
13,valve opened,1533.59,1538.59
,cont reach,1538.59,1539.59
,cont in vain,1540.59,1546.59
,cont in vain,1547.59,1554.59
,both licking,1556.59,1561.59
,walk,1645.59,1656.59
14,valve opened,1652.59,1657.59
,cont reach,1657.59,1667.59
,cont in vain,1668.59,1685.59
,cont in vain,1686.59,1690.59
,cont in vain,1691.59,1694.59
,both in vain,1695.59,1699.59
,walk,1700.59,1703.59
,both in vain,1704.59,1706.59
,both in vain,1707.59,1708.59
,both in vain,1709.59,1710.59
,both in vain,1711.59,1713.59
,both in vain,1714.59,1715.59
,both in vain,1716.59,1717.59
,both in vain,1718.59,1719.59
,both in vain,1720.59,1722.59
,both in vain,1723.59,1726.59
,both in vain,1727.59,1728.59
,both in vain,1729.59,1731.59
,both in vain,1732.59,1735.59
,both in vain,1736.59,1739.59
,both in vain,1740.59,1752.59
,both in vain,1753.59,1755.59
,both in vain,1756.59,1760.59
,walk,1761.59,1764.59
,both in vain,1765.59,1766.59
,both in vain,1767.59,1771.59
15,valve opened,1771.59,1776.59
,walk,1772.59,1775.59
,cont reach,1776.59,1784.59
,cont in vain,1785.59,1795.59
,walk,1799.59,1813.59
,walk,1879.59,1886.59
16,valve opened,1890.59,1895.59
,cont reach,1894.59,1899.59
,cont in vain,1900.59,1908.59
17,valve opened,2008.59,2013.59
,cont reach,2013.59,2020.59
,cont in vain,2021.59,2023.59
,cont in vain,2024.59,2031.59
18,valve opened,2127.59,2132.59
,cont reach,2131.59,2139.59
,cont in vain,2140.59,2145.59
,both licking,2147.59,2150.59
,cont in vain,2151.59,2159.59
,both licking,2161.59,2164.59
,walk,2165.59,2176.59
19,valve opened,2246.59,2251.59
,walk,2249.59,2250.59
,cont reach,2251.59,2256.59
,both licking,2259.59,2263.59
,walk,2264.59,2276.59
,walk,2338.59,2364.59
20,valve opened,2365.59,2370.59
,cont reach,2369.59,2377.59
,cont in vain,2378.59,2387.59
21,valve opened,2483.59,2488.59
,cont reach,2488.59,2496.59
,cont in vain,2497.59,2503.59
,walk,2504.59,2511.59
22,valve opened,2603.59,2608.59
,cont reach,2606.59,2612.59
,cont in vain,2613.59,2620.59
,walk,2621.59,2627.59
,walk,2680.59,2700.59
23,valve opened,2721.59,2726.59
,cont reach,2725.59,2735.59
,cont in vain,2736.59,2744.59
,walk,2745.59,2751.59
,both in vain,2824.59,2830.59
,walk,2831.59,2845.59
24,valve opened,2839.59,2844.59
,cont reach,2846.59,2850.59
,cont in vain,2851.59,2862.59
,walk,2863.59,2873.59
,walk,2939.59,2950.59
25,valve opened,2960.59,2965.59
,cont reach,2966.59,2978.59
,walk,2979.59,2994.59
26,valve opened,3079.59,3084.59
,cont reach,3084.59,3088.59
,cont in vain,3089.59,3098.59
,walk,3099.59,3105.59
,cont in vain,3160.59,3165.59
,cont in vain,3169.59,3170.59
,walk,3171.59,3178.59
,cont in vain,3179.59,3180.59
,walk,3181.59,3193.59
27,valve opened,3199.59,3204.59
,cont reach,3204.59,3222.59
28,valve opened,3319.59,3324.59
,cont reach,3326.59,3339.59
,walk,3340.59,3344.59
,cont in vain,3345.59,3346.59
,walk,3347.59,3350.59
,both in vain,3351.59,3358.59
,both in vain,3360.59,3363.59
,both in vain,3364.59,3365.59
,both in vain,3366.59,3367.59
,both in vain,3368.59,3369.59
,walk,3370.59,3373.59
,both in vain,3374.59,3377.59
,both in vain,3378.59,3379.59
,walk,3380.59,3392.59
29,valve opened,3440.59,3445.59
,walk,3444.59,3449.59
,walk,3478.59,3487.59
,noise generation,3480.59,3515.89
30,valve opened,3593.59,3598.59
,cont reach,3599.59,3611.59
,walk,3612.59,3621.59
,walk,3683.59,3690.59
,both in vain,3691.59,3694.59
,both in vain,3696.59,3702.59
,both in vain,3703.59,3709.59
,both in vain,3710.59,3718.59
31,valve opened,3713.59,3718.59
,both reach,3719.59,3728.59
,walk,3729.59,3734.59
,both in vain,3735.59,3740.59
,both in vain,3741.59,3742.59
,both in vain,3743.59,3744.59
,both in vain,3745.59,3746.59
,both in vain,3747.59,3751.59
,walk,3752.59,3761.59
,both in vain,3762.59,3764.59
,walk,3765.59,3790.59
32,valve opened,3834.59,3839.59
,walk,3838.59,3840.59
,both missed,3841.59,3843.59
,cont reach,3844.59,3851.59
,walk,3852.59,3863.59
,cont in vain,3864.59,3866.59
,walk,3928.59,3933.59
,both in vain,3934.59,3935.59
,both in vain,3938.59,3940.59
,walk,3941.59,3956.59
33,valve opened,3958.59,3963.59
,noise generation,3998.59,4033.89
34,valve opened,4111.59,4116.59
,cont reach,4116.59,4123.59
,cont in vain,4124.59,4133.59
,walk,4134.59,4155.59
35,valve opened,4230.59,4235.59
,cont reach,4239.59,4252.59
,walk,4253.59,4265.59
36,valve opened,4353.59,4358.59
,cont reach,4359.59,4368.59
,cont in vain,4369.59,4375.59
,walk,4376.59,4393.59
37,valve opened,4474.59,4479.59
,walk,4478.59,4481.59
,cont reach,4482.59,4484.59
,cont in vain,4486.59,4487.59
,cont in vain,4488.59,4495.59
,walk,4496.59,4506.59
,walk,4542.59,4554.59
38,valve opened,4596.59,4601.59
,noise generation,4636.59,4671.89
39,valve opened,4749.59,4754.59
,noise generation,4789.59,4824.89
40,valve opened,4902.59,4907.59
,noise generation,4942.59,4977.89
41,valve opened,5055.59,5060.59
,cont reach,5063.59,5069.59
,walk,5070.59,5073.59
,cont in vain,5074.59,5081.59
,walk,5082.59,5086.59
,both in vain,5087.59,5093.59
,both in vain,5094.59,5095.59
,both in vain,5096.59,5097.59
,walk,5098.59,5121.59
42,valve opened,5177.59,5182.59
,noise generation,5217.59,5252.89
43,valve opened,5330.59,5335.59
,noise generation,5370.59,5405.89
44,valve opened,5483.59,5488.59
,noise generation,5523.59,5558.89
45,valve opened,5636.59,5641.59
,noise generation,5676.59,5711.89
46,valve opened,5789.59,5794.59
,walk,5797.59,5800.59
,cont reach,5801.59,5804.59
,cont in vain,5805.59,5811.59
,walk,5812.59,5830.59
47,valve opened,5915.59,5920.59
,noise generation,5956.59,5991.89
48,valve opened,6068.59,6073.59
,noise generation,6109.59,6144.89
,walk,6148.59,6160.59
49,valve opened,6221.59,6226.59
,walk,6225.59,6228.59
,cont reach,6229.59,6234.59
,walk,6235.59,6254.59
50,valve opened,6342.59,6347.59
,walk,6340.59,6347.59
,cont reach,6348.59,6353.59
,walk,6354.59,6360.59
,cont in vain,6361.59,6363.59
,cont in vain,6364.59,6369.59
,walk,6370.59,6377.59
,walk,6397.59,64005.59
51,valve opened,6464.59,6469.59
,walk,6489.59,6507.59
,noise generation,6504.59,6539.89
52,valve opened,6617.59,6622.59
,noise generation,6657.59,6692.89
53,valve opened,6770.59,6775.59
,noise generation,6810.59,6845.89
54,valve opened,6923.59,6928.59
,noise generation,6963.59,6998.89
,walk,7019.59,7033.59
55,valve opened,7076.59,7081.59
,noise generation,7116.59,7151.89
56,valve opened,7193.59,7198.59
,noise generation,7234.59,7269.89
57,valve opened,7346.59,7351.59
,noise generation,7387.59,7422.89
58,valve opened,7499.59,7504.59
,noise generation,7540.59,7575.89
,walk,7574.59,7587.59
59,valve opened,7652.59,7657.59
,noise generation,7693.59,7728.89
,walk,7794.59,7800.59
60,valve opened,7805.59,7810.59
,spout moved after whisker detection,7845.59,7851.59
,walk,7847.59,7858.59
,walk,7880.59,7886.59
61,valve opened,7923.59,7928.59
,noise generation,7963.59,7998.89
62,valve opened,8076.59,8081.59
,noise generation,8116.59,8151.89
,walk,8175.59,8204.59
,both in vain,8205.59,8207.59
,both in vain,8208.59,8210.59
,both in vain,8212.59,8213.59
,walk,8214.59,8216.59
,both in vain,8217.59,8219.59
,walk,8220.59,8238.59
63,valve opened,8229.59,8234.59
,both reach,8239.59,8240.59
,walk,8241.59,8242.59
,both in vain,8243.59,8245.59
,walk,8326.59,8334.59
64,valve opened,8357.59,8362.59
,noise generation,8397.59,8432.89
,two photon imaging,,8483.59
