x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0029,y0030,y0032,y0035,y0036,y0039
30,0,0,4.7056284,15.632041,1.4378473,0,0.5459972,18.344593,0.3008323,0,1.8177878,0,6.36985,0,7.3838034,0,0,6.082996,18.05346,0,0,0,1.976242,0,0.24367453,0,0,9.078857,7.6002655,0,0,6.203831,0
31,1.7883918,8.641887,0,10.612864,7.9688783,0,15.325342,0,0,13.431634,7.2312555,0,0,0,0,0,4.739785,15.454671,25.615458,5.155332,3.2418923,9.757541,7.1378975,12.124701,12.152608,0,0,14.273246,0,0,0,5.270422,6.4539523
32,0,6.038713,4.366578,2.2394984,3.657509,0.7294643,15.445725,8.375681,0,0,4.770189,3.2645223,0,3.3892117,3.3163447,0,6.945042,24.177399,23.244816,31.934525,0,12.949092,4.1586227,6.862912,8.764292,2.1568599,0.12816906,15.130033,3.311498,1.9036264,7.363369,2.647001,5.7224846
33,4.428206,24.522776,0,7.09607,3.802588,0,8.132057,4.489445,0,9.150835,9.877826,4.997839,0,10.382101,0.33482897,0.67398626,0.35062876,0,24.170788,0,0.57433015,6.5309367,11.260516,12.947221,12.831861,13.8836775,6.923515,9.156653,11.455621,15.322314,8.876329,4.5612803,4.81938
34,7.3359094,16.02813,14.768532,25.337757,3.5812654,3.0990613,3.5185874,14.02952,20.7187,0,5.923023,0,0,7.3406377,0.9522719,0,2.2754815,20.559843,4.1054463,24.638502,2.7246678,9.848848,7.6757293,8.021938,5.3604345,15.458813,14.7733755,13.11922,7.5407023,5.5062103,21.546766,5.1080723,6.326123
35,2.5328848,16.430191,0,0.24341989,2.142632,4.5996966,15.677435,7.294294,0,14.272415,0.5561527,12.0007515,0,2.418521,6.9572296,2.4728386,3.0037284,10.398362,25.672024,0,3.5550146,4.2989697,10.453261,3.3815885,7.944958,5.2983375,8.456294,11.794371,7.9690595,5.9805512,0,0,8.366712
36,2.469321,9.902791,1.8950552,7.9383183,9.603169,3.92967,12.075659,6.9319253,6.9300623,6.7936,10.597544,11.691698,6.687447,2.6427817,0,0,0,0,0,0,1.5423214,0,0,11.671671,7.5299897,2.6773493,12.123679,10.511408,7.526643,14.730323,0,0,6.513722
37,9.443965,11.406771,7.870108,0,4.613272,0,7.4448395,11.963597,9.090624,0,6.2012024,16.470098,8.374115,11.449724,12.840706,3.2163587,8.888545,31.077753,33.948082,26.533049,21.280605,7.94289,9.168549,9.485866,10.094686,8.688096,11.484532,14.094431,3.7378302,10.018757,20.233047,4.3967605,4.9774365
38,11.66066,3.347847,8.520868,16.756277,0.23969232,0,8.098334,8.754811,33.482986,5.76251,5.615946,1.1482451,0,2.4994314,6.5539722,0,5.531907,15.370326,22.324318,0.9056287,5.663926,8.635752,6.711139,3.1847422,4.0022507,12.599057,4.6259527,8.224778,13.439265,8.438314,15.107288,0.16297139,1.3289412
39,7.455408,8.940212,9.201169,8.686855,0,1.6952688,7.19301,6.4894586,23.80282,0,3.3490865,3.9366636,13.208564,9.088165,3.4038353,0.6910357,2.4771833,28.772305,17.527094,20.600765,6.1677475,10.59768,0,3.5831237,10.361062,7.3524303,4.8129196,11.847098,8.150079,8.999672,12.229577,3.5024862,4.488445
