x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0023,y0024,y0025,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0038,y0040,y0042,y0043,y0045,y0046,y0047,y0048,y0050
288,3.850943,7.0767503,0,0,0,4.009183,0,3.6456983,0,0,0,1.4517958,0,0,1.918338,2.6533313,0,0,0,0,0,1.188739,0,0,0,0,0,0,4.4658756,0,0.49048248,0,0,0,1.2768624,0.93833095,0,2.1747231,0,0,0,0.6283348
289,0.6290839,0,0,0,0,2.5476246,0,0.74223655,0.43386483,2.9702163,1.8904444,0,0,0,0.37012002,0.30938944,0,0,0,0,0,0,0,1.2352196,0,4.822111,0,0,0,0.6711556,0,2.1433668,1.4296088,0,0,3.1065373,0,0,0,1.8907785,0,3.6330671
290,0.035773553,6.825312,0,0,1.1074231,0,0,0,0,1.4364238,0,0,0,4.374093,0,1.3158224,3.1187065,0,2.3335354,0,0,0,0.041905828,0,1.9345193,0.2635007,0,0,4.3905325,1.6218908,0,1.9126619,4.654351,0.060400635,0.98412085,0,9.99548,0,0,0,2.040809,0.89542884
291,0,0,0,0,0.6371853,1.862442,0.038617566,0,0,0,1.5722798,0,1.5133371,0,0,6.9668756,0,1.735038,0,1.7148612,16.109604,1.669248,3.9690197,0,0.98586875,0,1.6797551,3.9451182,0,2.7347019,1.5286059,0,2.045571,0,2.705366,0,0,0,0,1.5286965,0,1.8140715
292,0.16011517,0.13942747,8.988054,0,0,0,0.08614145,0,0,0,0,1.3342309,0,0,0.46081096,1.4449676,0,0,0,0,4.0474896,0,0,0.21333003,0,0.2694076,0,0,0,0.70768553,0.05407449,0,0,0,0,0,0,0,0,1.0469832,0,0
293,0,0,0,0,0,1.0967537,1.6686726,0,0.016419185,0,1.1421072,1.977835,9.0048,0,0,0,0,0,7.5162024,3.147473,0,0,0,0,0.6306836,4.3053412,1.9296621,0,0,0,0,0,3.1350782,1.3005468,0,0,10.847172,0,1.983885,0,0,0
294,0,0,0,0,0.5166891,0,0,0,0,0,0,1.9739088,0,0,0,0,3.2489371,6.0610013,0.56715477,0.8556502,11.92444,0,0,0,0,2.6735635,15.278416,0.45386165,0.90265334,2.732392,1.6595091,0,0,0,4.3050175,1.9503802,0.60981065,0,1.9810966,0.4051624,0,0
295,0,1.2531614,2.6274638,0,3.1466463,0.23676857,0,1.4982822,0,1.8206439,0,4.4256964,7.004328,0.23202553,0.65149385,0,0,0.0815774,0.15727046,0,3.340874,2.298133,1.9947193,0,0,0,3.4973083,0.047917023,0,0,0.34330305,0,0,0.84712386,0,2.2375612,13.438405,0,0,0,1.1497235,0
296,0.2348417,0,0,2.0759895,1.2828753,0,0.80204797,1.240277,1.9983208,0,0,0,3.5397148,0,2.1746025,0,0,0,4.398542,0,0,0,0,0,2.2142572,4.6389303,0,0,2.7084734,1.4984761,0.3456845,0,0,1.7454972,0.07267493,0,6.9558997,1.1032623,0.16674116,1.9850726,3.5211532,2.3645234
297,0.46173325,5.4248857,0,0,0,0,0,2.9644597,0,0,0.69280356,0,0,0,0.30085123,3.5062442,0,0,0,2.1271825,0,0,0,0,0,1.2253805,9.49173,0,0,0,0,0,0,3.2535276,0.11538281,0,1.7811124,0,2.8619528,0,0,0
298,3.5269103,0,10.453492,0,4.466059,0,1.0209925,1.4917825,0,0,0,0,0,0,0.9698143,0,0,3.6180792,1.570004,0,0,0,0,0,2.4654155,1.5681509,0,6.846806,0,0,0,0.016180083,8.595043,0,0,0.50551486,0,0,2.720475,0,0,0
299,0,0.45876205,2.2635846,0,3.968403,0,0.9566647,0.20908438,0,3.8049543,1.8514203,0,0,0,0,0,0,0,0,0,14.13849,5.3996534,3.5889695,6.6741095,0,1.8178266,0,0.5769724,0,1.41788,1.1552379,0,0,0,1.2465645,0,3.1354072,0,0.56567556,0,0,0
300,1.8768128,4.670882,0,7.5868,0,0,0,0.7433088,0,0,1.8220459,0,0,0.83174413,0.16520692,0,0,1.8233488,0,0,0.41324946,0.26627913,1.665963,0,0,0,0,0,0,0,0,1.0273284,0,0,0,0,1.8573037,0.17490353,2.0695925,0,0,6.0091586
301,0.82862985,0,0,0.46517283,2.6624405,1.2006452,0,0,0,3.7209375,1.6074958,1.1694405,0,0,1.56696,0.17204979,0,0,0,0,0,0,0,0,0,2.4699368,0,0,2.7894013,0,0,3.6626875,0,3.0560706,0,0,0,0,2.7211068,2.79796,0,0
302,0,0,2.608515,0,0,1.5800444,0,0,1.5256556,4.979372,0,0.58225906,0,2.4027262,0,3.3724022,0,0,0,0,0,4.1312222,0,1.7240196,0,1.9138821,0,0,0,2.6037889,0,0.82183564,1.1936946,0.14041483,0,0.6053011,0,1.1096803,0,0,0,0
303,0,1.5945357,4.2043457,0,0.2537768,0,0.16229168,2.817325,1.8356929,0,0,0,0,0,1.4219044,4.0456786,0,0,4.0465546,0,0,0,5.815675,0,0,6.583546,0,0,4.099191,0,0,0,1.9880688,4.3022137,0,0,0,5.752696,0,3.7872643,0,0
304,0,1.4020654,1.2794806,0,0.7447674,0,0,0.10685766,0,0,0,0,0,0,2.6426353,2.1663947,0,7.966473,0,3.1125557,0,0,0,1.4894024,0,3.6795654,9.834039,2.437921,0,0,0,0,0,0,0.54575664,1.8806998,0,0,0,0,3.3565829,0
305,2.7728124,0,0,0,1.7862003,1.0951321,0,0,0,3.7029626,3.506953,4.0033536,0,0.21598385,0,0,3.7922804,0,0,0,0.9671973,0,0,0,0,0,0,0,0,3.4334798,0,0,2.5952065,0,1.8558921,0.19666952,0,0,0,2.2522,0.8685792,7.360544
306,0,0,0,0,0,1.1239059,0.4901513,4.163059,0,7.5787344,0,0,7.5386233,0.3862179,4.971384,0,0.5552954,0.6430091,0,0.2602911,0,0,0,0,0,0,4.242621,1.0821637,5.288549,0,0.72570115,0,0,0,0,0,3.05925,0,4.033366,0,0,0.2572265
307,0,2.4579422,2.4962227,0,0,0,0,0,0,0.7081776,0,0,10.31963,0,0,0,0,0,0,2.6200242,0,0,0,1.019344,5.3072867,0.052558992,0.7485027,0,0.4433414,3.2500575,0,0,0,0.08473415,1.3280433,0,0,1.3702699,0,0,0,0.007787531
308,0,0,0,0,0,0,0,0,0.51883525,0.8565311,1.4453068,0,0,0.8475249,0,0,0,0,8.040206,0,1.1428627,0,3.1978269,0.38013494,0.96562636,2.0955634,3.0615423,5.196964,0,1.9067109,5.7292433,0,0,0.22314632,0,0,3.989404,0,0,0.97387904,0,0
309,0.72393185,1.1679467,0,0.116180345,0,0,0.46265417,0,0,4.6071544,4.715059,0,0.25917074,0,5.3840275,0,0,1.209603,0.39301845,0.107777245,0,0,0,0.3483852,3.671008,4.919268,0,3.7453194,2.2465904,1.4951357,0,0,0,0.7189092,0,0,0,0,0,0,0,0
310,0.7467775,0,1.9665289,0,0,0.80371124,0,0.5315466,2.4932525,0,4.547481,0,16.529936,0,0,1.7722152,0,0,0,0,0,0.37175426,0,0,0,0,0,0,5.290358,0,0.038907733,21.594564,1.6039778,0.24103825,0,0,0,0,0,0,0.851162,0
311,0.59369135,0,0,1.5560548,0,1.7777295,0,0,1.4148272,6.061016,0,0,0,0,0,0,4.4748273,5.382886,0,0,0,0,3.7842996,0,0,0,0,0,0,0,1.1821629,0,4.4225254,0,0,3.531024,0,0,0,2.173905,0.77325493,0.74949086
312,0,0,4.0975595,0.9357896,2.1586282,0,0.09009423,0,0,2.213391,0,0,0,0.21473779,0,0.77147853,0,0,0,0,11.205266,2.3133566,3.016445,0,0.8131048,0,22.284946,2.9400368,0,0.14115869,0,0,0.019775726,0,0.4082392,0,0,0,0,0,0,0
